Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
102.3594,-19.3677,-6.4559,-1.3228,2.5665,-42.6963,0.9057760792077704,0.9064317314746893,-0.1538,-0.3345,-1.0459
99.7524,-18.7549,-6.2516,-1.2787,2.4865,-41.5896,0.9034976575262949,0.9059458023282879,-0.1478,-0.3332,-1.0411
102.6166,-19.4455,-6.4818,-1.3204,2.5807,-42.7698,0.8789902542614999,0.9123234687017518,-0.125,-0.3562,-1.0437
102.2258,-19.345,-6.4483,-1.3154,2.5665,-42.6313,0.904662589620852,0.9070010987505508,-0.1426,-0.3478,-1.0407
102.9149,-19.496,-6.4987,-1.3281,2.5853,-42.9246,0.8816406492764525,0.9119097509698484,-0.1413,-0.344,-1.0478
101.5567,-19.1831,-6.3944,-1.3027,2.5458,-42.3337,0.8998084326150699,0.9080331002874612,-0.1292,-0.3539,-1.0446
101.3608,-19.1422,-6.3807,-1.3004,2.5402,-42.2622,0.917017478936744,0.9036613553446842,-0.1345,-0.3488,-1.0393
101.2438,-19.1609,-6.3870000000000005,-1.3030000000000002,2.542,-42.1646,0.912705621710207,0.9033893349715442,-0.1343,-0.3434,-1.0382
102.272,-19.3457,-6.4486,-1.3173,2.5656,-42.641999999999996,0.8864418004561536,0.9105492399785432,-0.13699999999999998,-0.3477,-1.048
100.4445,-18.9157,-6.3052,-1.2901,2.5075,-41.8748,0.9034468224702544,0.9059894207688118,-0.1444,-0.34,-1.0428
102.7668,-19.4704,-6.4901,-1.3231,2.5835,-42.8729,0.8883755469367172,0.9106259769880272,-0.1399,-0.3391,-1.0461
100.194,-18.8579,-6.2860000000000005,-1.2851,2.5004,-41.7432,0.915810550919856,0.9027728054245484,-0.1319,-0.3546,-1.0408
102.2449,-19.3444,-6.4481,-1.31,2.569,-42.6352,0.8793154997725627,0.9123888538631444,-0.1205,-0.3578,-1.0435
102.4866,-19.3947,-6.4649,-1.3136,2.5757,-42.7469,0.8745262718495146,0.9140419974245728,-0.1235,-0.3572,-1.0432
101.3187,-19.1264,-6.3755,-1.304,2.5357,-42.247,0.8915734704993166,0.9089655343916108,-0.1456,-0.3382,-1.0439
100.1883,-18.8769,-6.2923,-1.2874,2.5025,-41.7312,0.8872525914436228,0.9094864311124852,-0.1398,-0.3421,-1.0438
103.3923,-19.6268,-6.5423,-1.3462,2.5980000000000003,-43.1045,0.9147269992519655,0.9037869672340366,-0.1571,-0.3293,-1.05
102.2216,-19.3416,-6.4472,-1.3205,2.5634,-42.628,0.890723061050265,0.9096187286645664,-0.1468,-0.3322,-1.0484
101.973,-19.3227,-6.4409,-1.3082,2.5664,-42.5085,0.8743407079035415,0.913438521337496,-0.1362,-0.3376,-1.0417
101.6439,-19.157,-6.3857,-1.3053,2.5402,-42.3971,0.8828852586247088,0.9118249988819588,-0.135,-0.3606,-1.0476
102.1326,-19.340999999999998,-6.447,-1.3205,2.5632,-42.5564,0.8949950534376468,0.9075479708018821,-0.1419,-0.3409,-1.0432
102.1754,-19.3084,-6.4361,-1.3269,2.5546,-42.6168,0.9183801287050448,0.9036178070958258,-0.1653,-0.3246,-1.0537
102.8506,-19.4859,-6.4953,-1.3297,2.5828,-42.8894,0.9086675248279508,0.9060469156113504,-0.1475,-0.3415,-1.0481
101.9684,-19.2695,-6.4232,-1.3145,2.5544,-42.5203,0.8972474250084174,0.9084355413283192,-0.1392,-0.3422,-1.0481
102.10600000000001,-19.3383,-6.4461,-1.3119,2.5671,-42.5738,0.8857101277348579,0.9110074141084664,-0.138,-0.341,-1.0407
99.88,-18.8139,-6.2713,-1.2854,2.4930000000000003,-41.6114,0.9165448011283492,0.9024366291150512,-0.1526,-0.3301,-1.0388
102.4678,-19.3884,-6.4628,-1.3171,2.5729,-42.7321,0.8839226276871862,0.9119113995469016,-0.1306,-0.3511,-1.0488
101.1076,-19.0818,-6.3606,-1.3048,2.5279,-42.1596,0.9141446352495124,0.9042600162016716,-0.1594,-0.3269,-1.0452
102.8689,-19.4962,-6.4987,-1.3245,2.5871,-42.93,0.8856663928571984,0.9114668613421598,-0.1483,-0.3357,-1.0421
103.1829,-19.5854,-6.5285,-1.3354,2.5965,-43.0294,0.9067834232960816,0.9062825763827824,-0.1522,-0.3346,-1.045
100.9883,-19.0601,-6.3534,-1.2918,2.5308,-42.0853,0.8882484100883514,0.9095372149272588,-0.1233,-0.3581,-1.0387
101.7446,-19.2395,-6.4132,-1.3119,2.5506,-42.4266,0.8977472441283905,0.9078912282766254,-0.1496,-0.3316,-1.0443
101.3843,-19.1332,-6.3777,-1.3044,2.5367,-42.2721,0.9143837179998102,0.9048693014895924,-0.1428,-0.3447,-1.0465
102.6641,-19.4381,-6.4794,-1.3238,2.5778,-42.8334,0.8899240928591836,0.9104821871758836,-0.1459,-0.3352,-1.0469
102.15,-19.3442,-6.4481,-1.3216,2.5633,-42.5936,0.9006908128434244,0.90751674828817,-0.1598,-0.3226,-1.0472
102.9618,-19.5277,-6.5092,-1.325,2.5921,-42.9489,0.8784771056362832,0.9121388471101356,-0.1402,-0.3435,-1.0419
101.0264,-19.0404,-6.3468,-1.3022,2.5223,-42.1361,0.9043394623597332,0.9057994246266292,-0.1508,-0.3356,-1.0444
102.3556,-19.3902,-6.4634,-1.3146,2.5744,-42.6537,0.8936434349501494,0.9085641591494016,-0.1213,-0.3605,-1.0407
101.8483,-19.2642,-6.4214,-1.3130000000000002,2.5542,-42.4543,0.8911493093867567,0.9091434108851076,-0.1387,-0.3381,-1.0453
101.6529,-19.253,-6.4177,-1.3063,2.5557,-42.3834,0.9085976731588492,0.905398741720486,-0.1444,-0.3295,-1.0353
102.0768,-19.2883,-6.4294,-1.3090000000000002,2.5602,-42.5787,0.8804514364073266,0.9116556263878938,-0.1294,-0.3569,-1.0424
102.9181,-19.4692,-6.4897,-1.3319,2.5789,-42.9398,0.9051551614909288,0.9065473186221702,-0.14800000000000002,-0.3423,-1.0504
101.9872,-19.2959,-6.432,-1.32,2.556,-42.528,0.9084793574233142,0.9051170479260428,-0.1564,-0.3253,-1.0466
101.1127,-19.0679,-6.356,-1.3022,2.5269,-42.1517,0.9100816006595136,0.9051987850953548,-0.1433,-0.3437,-1.0465
100.8855,-19.0536,-6.3512,-1.2976,2.5268,-42.0306,0.8906456677778032,0.9087201503544152,-0.1396,-0.3374,-1.044
102.7483,-19.4639,-6.488,-1.319,2.5845,-42.8288,0.8939019609075857,0.9089248982519518,-0.114,-0.3699,-1.044
103.5622,-19.6533,-6.5511,-1.3281,2.6115,-43.2081,0.8681878955275217,0.9158742352004876,-0.1241,-0.3603,-1.044
103.0242,-19.5427,-6.5142,-1.3343,2.59,-42.9368,0.901815939862264,0.9068298034452026,-0.1398,-0.3421,-1.0493
101.7513,-19.2468,-6.4156,-1.3098,2.5529,-42.4279,0.905279618392898,0.9065475043421388,-0.1462,-0.3334,-1.0437
102.8421,-19.4822,-6.4941,-1.3171,2.5885,-42.8906,0.8735340971225896,0.9141131928961448,-0.1174,-0.3635,-1.0434
102.3513,-19.3831,-6.461,-1.3188,2.5711,-42.66,0.8974518686063605,0.9078178863123328,-0.1332,-0.3511,-1.0435
101.74,-19.2465,-6.4155,-1.3115,2.552,-42.4049,0.904372189347038,0.9060573364681792,-0.1437,-0.3395,-1.0431
100.8032,-19.0051,-6.335,-1.2964,2.5193,-42.0204,0.8942090559636641,0.9090797777526298,-0.1398,-0.33399999999999996,-1.0493
101.2094,-19.123,-6.3743,-1.2949,2.5397,-42.1673,0.8682730636876603,0.9146450312627339,-0.1185,-0.3531,-1.0453
103.4254,-19.636,-6.5453,-1.3462,2.5996,-43.0962,0.9010368172826916,0.9064848954701232,-0.1449,-0.3369,-1.052
101.3567,-19.1649,-6.3883,-1.3081,2.5401,-42.233,0.8953585919591344,0.906732444767894,-0.1426,-0.3346,-1.0402
102.0261,-19.2812,-6.4271,-1.3105,2.5583,-42.5409,0.9018591300094966,0.9075099866798672,-0.1303,-0.3573,-1.0452
101.6292,-19.2067,-6.4022,-1.3053,2.5485,-42.3638,0.9082566954664264,0.9064250516479864,-0.1315,-0.3476,-1.0456
102.9425,-19.5132,-6.5044,-1.3292,2.5876,-42.9558,0.9073515220481774,0.9062182175810296,-0.154,-0.3363,-1.04
101.3876,-19.1768,-6.3923,-1.3019999999999998,2.5451,-42.2572,0.8830162173491097,0.9111868762689106,-0.1342,-0.3368,-1.0418
99.8824,-18.8027,-6.2676,-1.2855,2.491,-41.6227,0.9103593664961708,0.9037425234057034,-0.1519,-0.33,-1.0398
100.3125,-18.8919,-6.2973,-1.2951,2.5011,-41.7941,0.9200158707104392,0.9014800736968216,-0.1494,-0.3345,-1.0446
102.5501,-19.4137,-6.4712,-1.3337,2.5688,-42.7344,0.9241724560608078,0.9015722780344688,-0.1527,-0.3402,-1.051
99.7171,-18.7754,-6.2585,-1.2792,2.4896,-41.5497,0.8991670539096692,0.9072231626783679,-0.1469,-0.3292,-1.0423
101.7168,-19.2285,-6.4095,-1.3068,2.5514,-42.43,0.8958748106454505,0.9095398567772084,-0.1475,-0.3304,-1.046
